causeCode,numRunups,tsIntensity,oceanicTsunami,eqMagnitude,warningStatusId,
1,1,,TRUE,,,
1,1,0.5,TRUE,,,
0,1,0.5,TRUE,,,
1,2,0.5,TRUE,,,
1,1,3,TRUE,7.5,,
9,4,,TRUE,,,
1,5,1.5,TRUE,,,
1,2,,TRUE,7.9,,
0,1,1.5,TRUE,,,
0,5,1.5,TRUE,,,
0,2,,TRUE,,,
1,2,1,TRUE,,,
1,1,1.5,TRUE,8,,
1,1,0,TRUE,,,
1,1,0,TRUE,,,
1,1,0.5,TRUE,,,
1,1,0,TRUE,,,
0,0,0,TRUE,,,
6,0,,TRUE,,,
4,1,1.5,TRUE,,,
0,2,0.5,TRUE,,,
0,0,,TRUE,,,
8,9,1.5,TRUE,,,
0,1,0.5,TRUE,,,
0,1,1.5,TRUE,,,
3,1,,TRUE,,,
3,3,0,TRUE,7.5,,
1,2,0.5,TRUE,7.7,,
1,2,,TRUE,6.3,,
3,2,0,TRUE,6.3,,
1,0,1,TRUE,,,
1,1,1,TRUE,,,
1,1,1,TRUE,,,
1,1,,TRUE,,,
1,2,1.5,TRUE,7,,
1,1,,TRUE,,,
1,0,,TRUE,,,
1,11,,TRUE,7.9,,
1,0,,TRUE,6.3,,
1,1,,TRUE,,,
1,1,,TRUE,,,
3,3,1,TRUE,7.9,,
1,1,,TRUE,,,
1,1,0.5,TRUE,7.5,,
0,2,2,TRUE,,,
2,1,1,TRUE,,,
0,1,0,TRUE,,,
1,0,3,TRUE,,,
6,102,4,TRUE,,,
7,3,3,TRUE,,,
6,1,0,TRUE,,,
6,0,0,TRUE,,,
0,1,,TRUE,,,
0,1,,TRUE,,,
1,3,,TRUE,7.5,,
9,1,-3,TRUE,,,
9,2,0,TRUE,,,
1,2,0.5,TRUE,7.3,,
1,1,0,TRUE,6.8,,
0,2,0,TRUE,,,
1,1,0.5,TRUE,,,
9,1,,TRUE,,,
9,2,,TRUE,,,
1,1,,TRUE,,,
1,0,,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
1,3,3,TRUE,6.8,,
1,0,,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
3,1,1,TRUE,7.4,,
0,1,,TRUE,,,
1,4,,TRUE,,,
1,2,3,TRUE,6.2,,
7,12,3.5,TRUE,,,
1,1,,TRUE,,,
1,1,-3,TRUE,6.8,,
0,1,1,TRUE,,,
1,7,2.5,TRUE,8,,
1,1,1,TRUE,6,,
1,1,,TRUE,,,
0,1,0.5,TRUE,,,
0,3,0,TRUE,,,
1,1,,TRUE,,,
2,1,1,TRUE,,,
1,1,0.5,TRUE,7,,
3,3,,TRUE,,,
6,0,,TRUE,,,
1,0,,TRUE,,,
1,1,0.5,TRUE,7.5,,
1,6,1,TRUE,,,
6,6,1,TRUE,,,
0,1,1.5,TRUE,,,
1,1,-1,TRUE,7,,
1,2,0,TRUE,6.5,,
0,0,,TRUE,,,
1,2,3,TRUE,6.5,,
1,3,1.5,TRUE,7,,
1,1,1,TRUE,6.9,,
1,0,3,TRUE,7.5,,
1,1,0,TRUE,6,,
0,1,0,TRUE,,,
1,20,1.5,TRUE,7.9,,
1,0,,TRUE,6.5,,
3,2,4,TRUE,7,,
1,3,3,TRUE,6.7,,
1,0,-1,TRUE,7,,
0,1,,TRUE,,,
9,1,,TRUE,,,
1,6,2,TRUE,7.3,,
8,1,,TRUE,,,
1,1,0.5,TRUE,,,
8,1,,TRUE,,,
9,1,,TRUE,,,
1,0,,TRUE,,,
1,6,-2.5,TRUE,7.6,,
1,75,3.8,TRUE,8.3,,
1,1,0,TRUE,6.8,,
9,1,1.5,TRUE,,,
1,2,,TRUE,7.4,,
1,1,1,TRUE,5.5,,
8,1,,TRUE,,,
1,0,,TRUE,7,,
1,37,1,TRUE,7.7,,
1,1,,TRUE,,,
1,18,2.5,TRUE,8.7,,
1,0,,TRUE,,,
9,1,2,TRUE,6.2,,
1,2,-3,TRUE,7.2,,
1,1,,TRUE,6.5,,
1,1,3,TRUE,,,
1,2,3,TRUE,6.5,,
1,13,1.5,TRUE,,,
0,1,,TRUE,,,
0,1,,TRUE,,,
1,4,0,TRUE,8.2,,
3,12,3,TRUE,8.2,,
3,10,3,TRUE,7.8,,
1,1,-1,TRUE,7.1,,
1,1,-2,TRUE,6.9,,
9,1,0.5,TRUE,6.4,,
1,3,,TRUE,6.8,,
1,1,1.5,TRUE,7.1,,
1,4,1.5,TRUE,6.9,,
1,5,,TRUE,7.7,,
3,1,,TRUE,6.7,,
1,0,,TRUE,6,,
1,4,-1.5,TRUE,7.5,,
4,10,,TRUE,7.9,,
1,3,-0.5,TRUE,7.2,,
1,2,-1,TRUE,7.4,,
1,1,,TRUE,6.3,,
1,1,0,TRUE,7,,
1,1,,TRUE,7.1,,
1,4,2,TRUE,7,,
6,1,,TRUE,,,
1,1,2,TRUE,6.5,,
1,1,2,TRUE,7.3,,
6,3,,TRUE,,,
1,2,0,TRUE,6.5,,
